Question,Answer
"Человек без сюрприза внутри, в своём ящике, неинтересен.","Человек без сюрприза внутри, в своём ящике, неинтересен."
Здоровье - это когда у вас каждый день болит в другом месте.,Здоровье - это когда у вас каждый день болит в другом месте.
Всю свою жизнь я проплавала в унитазе стилем баттерфляй.,Всю свою жизнь я проплавала в унитазе стилем баттерфляй.
"Сейчас, когда человек стесняется сказать, что ему не хочется умирать, он говорит так: очень хочется выжить, чтобы посмотреть, что будет потом. Как будто если бы не это, он немедленно был бы готов лечь в гроб.","Сейчас, когда человек стесняется сказать, что ему не хочется умирать, он говорит так: очень хочется выжить, чтобы посмотреть, что будет потом. Как будто если бы не это, он немедленно был бы готов лечь в гроб."
"Когда даёшь себя приручить, потом случается и плакать.","Когда даёшь себя приручить, потом случается и плакать."
"То, что Бог нам однажды отмерил, друзья,
Увеличить нельзя и уменьшить нельзя.
Постараемся с толком истратить наличность,
На чужое не зарясь, взаймы не прося.","То, что Бог нам однажды отмерил, друзья,
Увеличить нельзя и уменьшить нельзя.
Постараемся с толком истратить наличность,
На чужое не зарясь, взаймы не прося."
"Счастье - это когда тебя понимают, большое счастье - это когда тебя любят, настоящее счастье - это когда любишь ты.","Счастье - это когда тебя понимают, большое счастье - это когда тебя любят, настоящее счастье - это когда любишь ты."
"Неправда, что женатые мужчины при виде красивой женщины забывают о том, что они женаты. В эту минуту их особенно удручает именно воспоминание об этом.","Неправда, что женатые мужчины при виде красивой женщины забывают о том, что они женаты. В эту минуту их особенно удручает именно воспоминание об этом."
"Я заметила, что если не кушать хлеб, сахар, жирное мясо, не пить пиво с рыбкой – морда становится меньше, но грустнее.","Я заметила, что если не кушать хлеб, сахар, жирное мясо, не пить пиво с рыбкой – морда становится меньше, но грустнее."
И что только ни делает с человеком природа!,И что только ни делает с человеком природа!
"Когда у попрыгуньи болят ноги, она прыгает сидя.","Когда у попрыгуньи болят ноги, она прыгает сидя."
Воспоминания — это богатства старости.,Воспоминания — это богатства старости.
Благородный в душе безмятежен. Низкий человек всегда озабочен.,Благородный в душе безмятежен. Низкий человек всегда озабочен.
"Мы — послушные куклы в руках у творца!
Это сказано мною не ради словца.
Нас по сцене всевышний на ниточках водит
И пихает в сундук, доведя до конца.","Мы — послушные куклы в руках у творца!
Это сказано мною не ради словца.
Нас по сцене всевышний на ниточках водит
И пихает в сундук, доведя до конца."
"Не зли других и сам не злись,
Мы гости в этом бренном мире.
И, если что не так — смирись!
Будь поумней и улыбнись.
Холодной думай головой.
Ведь в мире все закономерно:
Зло, излученное тобой,
К тебе вернется непременно.","Не зли других и сам не злись,
Мы гости в этом бренном мире.
И, если что не так — смирись!
Будь поумней и улыбнись.
Холодной думай головой.
Ведь в мире все закономерно:
Зло, излученное тобой,
К тебе вернется непременно."
"Мысли тянутся к началу жизни - значит, жизнь подходит к концу.","Мысли тянутся к началу жизни - значит, жизнь подходит к концу."
"Я себя чувствую, но плохо.","Я себя чувствую, но плохо."
"Строить правильно отношения труднее всего с женщинами и низкими людьми. Если приблизишь их к себе — они станут развязными, если удалишь от себя — возненавидят.","Строить правильно отношения труднее всего с женщинами и низкими людьми. Если приблизишь их к себе — они станут развязными, если удалишь от себя — возненавидят."
"Попытайтесь быть хотя бы немного добрее, и вы увидите, что будете не в состоянии совершить дурной поступок.","Попытайтесь быть хотя бы немного добрее, и вы увидите, что будете не в состоянии совершить дурной поступок."
Оптимизм — это недостаток информации.,Оптимизм — это недостаток информации.
(Глядя на прореху в своей юбке) Напора красоты не может сдержать ничто!,(Глядя на прореху в своей юбке) Напора красоты не может сдержать ничто!
"Старость - это просто свинство. Я считаю, что это невежество Бога, когда он позволяет доживать до старости.","Старость - это просто свинство. Я считаю, что это невежество Бога, когда он позволяет доживать до старости."
У каждого человека свои звезды.,У каждого человека свои звезды.
"При встрече с достойным человеком думай о том, как сравняться с ним. Встречаясь с низким человеком, присматривайся к самому себе и сам себя суди.","При встрече с достойным человеком думай о том, как сравняться с ним. Встречаясь с низким человеком, присматривайся к самому себе и сам себя суди."
