Question,Answer
"Я не согласен с мнением, что нужно закрывать глаза на пороки знаменитых людей; по-моему, лучше, чтобы мы о них знали: тогда, помня, что мы не менее их порочны, мы все же можем верить, что и добродетели их для нас достижимы.","Я не согласен с мнением, что нужно закрывать глаза на пороки знаменитых людей; по-моему, лучше, чтобы мы о них знали: тогда, помня, что мы не менее их порочны, мы все же можем верить, что и добродетели их для нас достижимы."
"Всегда желанье с разумом боролось,
Довольство не спасает от фантазий,
В привычном счастье есть однообразье,
Дай людям солнце — захотят на полюс.","Всегда желанье с разумом боролось,
Довольство не спасает от фантазий,
В привычном счастье есть однообразье,
Дай людям солнце — захотят на полюс."
"Я скорее найму человека с энтузиазмом, чем того, который все знает.","Я скорее найму человека с энтузиазмом, чем того, который все знает."
"Идеологизированный человек при всей своей амбициозности перестаёт быть личностью ровно настолько, насколько он идеологизирован.","Идеологизированный человек при всей своей амбициозности перестаёт быть личностью ровно настолько, насколько он идеологизирован."
"В жизни побеждает глупец. А умному везде чудятся одни лишь препятствия, и, не успев что-то начать, он уже потерял уверенность в себе.","В жизни побеждает глупец. А умному везде чудятся одни лишь препятствия, и, не успев что-то начать, он уже потерял уверенность в себе."
"Мне страшно с тобой встречаться.
Страшнее тебя не встречать.","Мне страшно с тобой встречаться.
Страшнее тебя не встречать."
"Видя постоянно свет солнца и красоту луны, мы привыкаем к ним и не восхищаемся ими.","Видя постоянно свет солнца и красоту луны, мы привыкаем к ним и не восхищаемся ими."
Каждый может стать благородным мужем. Нужно только решиться им стать.,Каждый может стать благородным мужем. Нужно только решиться им стать.
В школе нельзя всему научиться — нужно научиться учиться.,В школе нельзя всему научиться — нужно научиться учиться.
"Звоните поздней ночью мне, друзья,
не бойтесь помешать и разбудить;
кошмарно близок час, когда нельзя
и некуда нам будет позвонить.","Звоните поздней ночью мне, друзья,
не бойтесь помешать и разбудить;
кошмарно близок час, когда нельзя
и некуда нам будет позвонить."
При юности и красоте мудрость проявляет себя очень редко.,При юности и красоте мудрость проявляет себя очень редко.
"Как воспитывать детей, знает каждый, за исключением тех, у кого они есть.","Как воспитывать детей, знает каждый, за исключением тех, у кого они есть."
"Это твоя жизнь, и она становится короче каждую минуту.","Это твоя жизнь, и она становится короче каждую минуту."
"Ни один человек, живший когда-либо бок о бок с животными, обитающими на воле, не может после этого посещать зоопарк.","Ни один человек, живший когда-либо бок о бок с животными, обитающими на воле, не может после этого посещать зоопарк."
Наша жизнь представляет собой результат преобладающих в нас мыслей.,Наша жизнь представляет собой результат преобладающих в нас мыслей.
"Совпадения в жизни на каждом шагу. Но мы запоминаем лишь те, которые врезаются в память радостью или несчастьем.","Совпадения в жизни на каждом шагу. Но мы запоминаем лишь те, которые врезаются в память радостью или несчастьем."
Самая короткая дорога — это дорога знакомая и прямая. Так на улице... Но не так в жизни: она заставляет искать обходные пути.,Самая короткая дорога — это дорога знакомая и прямая. Так на улице... Но не так в жизни: она заставляет искать обходные пути.
"Ты не научишься кататься на коньках, если боишься быть смешным. Лёд жизни скользок.","Ты не научишься кататься на коньках, если боишься быть смешным. Лёд жизни скользок."
"Дураки очень любят наказывать умных. Во-первых, себя поднимают. Во-вторых, умней получаются. В-третьих, все видят, кто главный. Единственное — потом не знают, что делать.","Дураки очень любят наказывать умных. Во-первых, себя поднимают. Во-вторых, умней получаются. В-третьих, все видят, кто главный. Единственное — потом не знают, что делать."
"Человек может искупить прошлое, только изменяя будущее.","Человек может искупить прошлое, только изменяя будущее."
"Самое страшное — когда прошлым становятся те, кто должен был стать будущим.","Самое страшное — когда прошлым становятся те, кто должен был стать будущим."
Так развращает война. Свободу воли затмевает гордыней.,Так развращает война. Свободу воли затмевает гордыней.
Рожденный ползать — везде пролезет.,Рожденный ползать — везде пролезет.
"Я ничего не хочу. Ведь как только перестаешь чего-нибудь хотеть, оно само идет в руки. Это аксиома.","Я ничего не хочу. Ведь как только перестаешь чего-нибудь хотеть, оно само идет в руки. Это аксиома."
"Жизнь и так слишком серьезная, чтобы еще и воспринимать ее серьезно.","Жизнь и так слишком серьезная, чтобы еще и воспринимать ее серьезно."
"Человек непонятлив, когда речь идет о том, на что ему наплевать.","Человек непонятлив, когда речь идет о том, на что ему наплевать."
"Никогда не следует мельчить то, что начал делать с размахом.","Никогда не следует мельчить то, что начал делать с размахом."
"«Не спорь с невеждой» — этому совету
Ты следуй, друг, в любые времена.
В никчемный спор кидаться смысла нету:
В нем истина не будет рождена.","«Не спорь с невеждой» — этому совету
Ты следуй, друг, в любые времена.
В никчемный спор кидаться смысла нету:
В нем истина не будет рождена."
"Для успешного планирования нужна единая, общая для всех система ценностей — именно поэтому ограничения в материальной сфере так непосредственно связаны с потерей духовной свободы.","Для успешного планирования нужна единая, общая для всех система ценностей — именно поэтому ограничения в материальной сфере так непосредственно связаны с потерей духовной свободы."
"Люди иногда называют дружбой совместное времяпрепровождение, взаимную помощь в делах, обмен услугами. Одним словом — такие отношения, где себялюбие надеется что-нибудь выгадать.","Люди иногда называют дружбой совместное времяпрепровождение, взаимную помощь в делах, обмен услугами. Одним словом — такие отношения, где себялюбие надеется что-нибудь выгадать."
"Судите о своем здоровье по тому, как вы радуетесь утру и весне.","Судите о своем здоровье по тому, как вы радуетесь утру и весне."
"Жизнь - это не имущество, которое надо защищать, а дар, который нужно разделить с другими людьми.","Жизнь - это не имущество, которое надо защищать, а дар, который нужно разделить с другими людьми."
"Мысль меняется в зависимости от слов, которые её выражают.","Мысль меняется в зависимости от слов, которые её выражают."
"Не наслажденье жизни цель,
Не утешенье наша жизнь.","Не наслажденье жизни цель,
Не утешенье наша жизнь."
