Question,Answer
"Человек без сюрприза внутри, в своём ящике, неинтересен.","Человек без сюрприза внутри, в своём ящике, неинтересен."
Здоровье - это когда у вас каждый день болит в другом месте.,Здоровье - это когда у вас каждый день болит в другом месте.
"Если вы решили действовать, закройте двери для сомнений.","Если вы решили действовать, закройте двери для сомнений."
"Человек, который думает только о себе и ищет во всем своей выгоды, не может быть счастлив. Хочешь жить для себя, живи для других.","Человек, который думает только о себе и ищет во всем своей выгоды, не может быть счастлив. Хочешь жить для себя, живи для других."
Каждый может стать благородным мужем. Нужно только решиться им стать.,Каждый может стать благородным мужем. Нужно только решиться им стать.
"Если вы хотите вести счастливую жизнь, вы должны быть привязаны к цели, а не к людям или к вещам.","Если вы хотите вести счастливую жизнь, вы должны быть привязаны к цели, а не к людям или к вещам."
"Словно ветер в степи, словно в речке вода,
День прошел — и назад не придет никогда.
Будем жить, о подруга моя, настоящим!
Сожалеть о минувшем — не стоит труда.","Словно ветер в степи, словно в речке вода,
День прошел — и назад не придет никогда.
Будем жить, о подруга моя, настоящим!
Сожалеть о минувшем — не стоит труда."
"Воспитание мужчины или женщины проверяется тем, как они ведут себя во время ссоры.","Воспитание мужчины или женщины проверяется тем, как они ведут себя во время ссоры."
"Да пребудет со мною любовь и вино!
Будь, что будет: безумье, позор – всё равно!
Чему быть суждено – неминуемо будет,
Но не больше того, чему быть суждено.","Да пребудет со мною любовь и вино!
Будь, что будет: безумье, позор – всё равно!
Чему быть суждено – неминуемо будет,
Но не больше того, чему быть суждено."
"Уважай себя настолько, чтобы не отдавать всех сил души и сердца тому, кому они не нужны...","Уважай себя настолько, чтобы не отдавать всех сил души и сердца тому, кому они не нужны..."
И что только ни делает с человеком природа!,И что только ни делает с человеком природа!
"Сторонитесь людей, которые пытаются уменьшить ваши амбиции. Маленькие люди делают это всегда. Большие же люди, напротив, дают вам почувствовать, что вы тоже можете стать великим.","Сторонитесь людей, которые пытаются уменьшить ваши амбиции. Маленькие люди делают это всегда. Большие же люди, напротив, дают вам почувствовать, что вы тоже можете стать великим."
"Люди иногда называют дружбой совместное времяпрепровождение, взаимную помощь в делах, обмен услугами. Одним словом — такие отношения, где себялюбие надеется что-нибудь выгадать.","Люди иногда называют дружбой совместное времяпрепровождение, взаимную помощь в делах, обмен услугами. Одним словом — такие отношения, где себялюбие надеется что-нибудь выгадать."
"В жизни побеждает глупец. А умному везде чудятся одни лишь препятствия, и, не успев что-то начать, он уже потерял уверенность в себе.","В жизни побеждает глупец. А умному везде чудятся одни лишь препятствия, и, не успев что-то начать, он уже потерял уверенность в себе."
Воспоминания — это богатства старости.,Воспоминания — это богатства старости.
"Что может дать один человек другому, кроме капли тепла? И что может быть больше этого?","Что может дать один человек другому, кроме капли тепла? И что может быть больше этого?"
"Целью школы всегда должно быть воспитание гармоничной личности, а не специалиста.","Целью школы всегда должно быть воспитание гармоничной личности, а не специалиста."
Если в мире все бессмысленно - что мешает выдумать какой-нибудь смысл?,Если в мире все бессмысленно - что мешает выдумать какой-нибудь смысл?
"Не приходи в уныние при расставаниях. Прощание необходимо для того, чтобы вы смогли встретиться вновь. А новая встреча, спустя мгновение или многие жизни, несомненна для тех, кто является друзьями.","Не приходи в уныние при расставаниях. Прощание необходимо для того, чтобы вы смогли встретиться вновь. А новая встреча, спустя мгновение или многие жизни, несомненна для тех, кто является друзьями."
"Самый чудесный город это тот, где человек счастлив.","Самый чудесный город это тот, где человек счастлив."
Оптимизм — это недостаток информации.,Оптимизм — это недостаток информации.
"Брак — не лучший способ сохранить любовь, но любовь — лучший способ сохранить брак.","Брак — не лучший способ сохранить любовь, но любовь — лучший способ сохранить брак."
Я никогда не думаю о будущем. Оно приходит само достаточно скоро.,Я никогда не думаю о будущем. Оно приходит само достаточно скоро.
"Образование — это то, что остаётся после того, как забывается всё выученное в школе.","Образование — это то, что остаётся после того, как забывается всё выученное в школе."
