Question,Answer
"Если помнить выгодно, никто забыт не будет.","Если помнить выгодно, никто забыт не будет."
"Я не согласен с мнением, что нужно закрывать глаза на пороки знаменитых людей; по-моему, лучше, чтобы мы о них знали: тогда, помня, что мы не менее их порочны, мы все же можем верить, что и добродетели их для нас достижимы.","Я не согласен с мнением, что нужно закрывать глаза на пороки знаменитых людей; по-моему, лучше, чтобы мы о них знали: тогда, помня, что мы не менее их порочны, мы все же можем верить, что и добродетели их для нас достижимы."
"Любить иных — тяжёлый крест,
А ты прекрасна без извилин,
И прелести твоей секрет
Разгадке жизни равносилен.","Любить иных — тяжёлый крест,
А ты прекрасна без извилин,
И прелести твоей секрет
Разгадке жизни равносилен."
"Часто ли вы видите человека, который, подняв голову, смотрит на звезды?","Часто ли вы видите человека, который, подняв голову, смотрит на звезды?"
"В жизни побеждает глупец. А умному везде чудятся одни лишь препятствия, и, не успев что-то начать, он уже потерял уверенность в себе.","В жизни побеждает глупец. А умному везде чудятся одни лишь препятствия, и, не успев что-то начать, он уже потерял уверенность в себе."
"Общество потребления — это общество одиноких людей, у которых есть всё, кроме того, что им действительно необходимо.","Общество потребления — это общество одиноких людей, у которых есть всё, кроме того, что им действительно необходимо."
"Если ты чувствуешь себя так, будто ты не человек, а груша для битья в перерывах между сном и приёмом пищи, то пора что-то менять.","Если ты чувствуешь себя так, будто ты не человек, а груша для битья в перерывах между сном и приёмом пищи, то пора что-то менять."
"Если на вас сказали «идиот», и вы обиделись, значит вы - правда идиот.","Если на вас сказали «идиот», и вы обиделись, значит вы - правда идиот."
Шоу должно продолжаться...,Шоу должно продолжаться...
"Совпадения в жизни на каждом шагу. Но мы запоминаем лишь те, которые врезаются в память радостью или несчастьем.","Совпадения в жизни на каждом шагу. Но мы запоминаем лишь те, которые врезаются в память радостью или несчастьем."
"Человек - просто недолговечный сосуд для переваривания пищи, он желает наслаждаться жизнью, а его подстерегает смерть.","Человек - просто недолговечный сосуд для переваривания пищи, он желает наслаждаться жизнью, а его подстерегает смерть."
"Ты не научишься кататься на коньках, если боишься быть смешным. Лёд жизни скользок.","Ты не научишься кататься на коньках, если боишься быть смешным. Лёд жизни скользок."
"Я восстанавливаюсь в одиночестве. Карьера рождается в обществе, талант - в личной жизни.","Я восстанавливаюсь в одиночестве. Карьера рождается в обществе, талант - в личной жизни."
"Кто из людей презирает людей, должен презирать и себя самого, потому презирать людей вправе только животные.","Кто из людей презирает людей, должен презирать и себя самого, потому презирать людей вправе только животные."
Так развращает война. Свободу воли затмевает гордыней.,Так развращает война. Свободу воли затмевает гордыней.
"Нашему уму свойственно верить, а воле — хотеть; и если у них нет достойных предметов для веры и желания, они устремляются к недостойным.","Нашему уму свойственно верить, а воле — хотеть; и если у них нет достойных предметов для веры и желания, они устремляются к недостойным."
"Если тебе повезло и ты в молодости жил в Париже, то, где бы ты ни был потом, он до конца дней твоих останется с тобой, потому что Париж — это праздник, который всегда с тобой.","Если тебе повезло и ты в молодости жил в Париже, то, где бы ты ни был потом, он до конца дней твоих останется с тобой, потому что Париж — это праздник, который всегда с тобой."
"В спорах, как на войне, слабая сторона разжигает костры и устраивает сильный шум, чтобы противник решил, будто она сильней, чем есть на самом деле.","В спорах, как на войне, слабая сторона разжигает костры и устраивает сильный шум, чтобы противник решил, будто она сильней, чем есть на самом деле."
"Тот, кто может быть счастливым в одиночестве, является настоящей личностью. Если твое счастье зависит от других, то ты раб, ты не свободен, ты в кабале.","Тот, кто может быть счастливым в одиночестве, является настоящей личностью. Если твое счастье зависит от других, то ты раб, ты не свободен, ты в кабале."
"То, что вы получаете, достигая своих целей, не так важно, как то, кем вы становитесь, достигая своих целей. ","То, что вы получаете, достигая своих целей, не так важно, как то, кем вы становитесь, достигая своих целей. "
"Своей манерой одеваться я вызывала насмешки окружающих, но в этом и состоял секрет моего успеха. Я выглядела не так, как все.","Своей манерой одеваться я вызывала насмешки окружающих, но в этом и состоял секрет моего успеха. Я выглядела не так, как все."
"Знаешь, что главное в жизни? Главное то, что жизнь одна. Прошла минута, и конец. Другой не будет.","Знаешь, что главное в жизни? Главное то, что жизнь одна. Прошла минута, и конец. Другой не будет."
Удача улыбается смелым... А потом долго ржет над ними!,Удача улыбается смелым... А потом долго ржет над ними!
"Ни один человек не может долго быть двуликим: иметь одно лицо для себя, а другое - для толпы; в конце концов он сам перестает понимать, какое из них подлинное.","Ни один человек не может долго быть двуликим: иметь одно лицо для себя, а другое - для толпы; в конце концов он сам перестает понимать, какое из них подлинное."
"Кто не доволен тем, что имеет, тот не был бы доволен и тем, что хотел бы иметь.","Кто не доволен тем, что имеет, тот не был бы доволен и тем, что хотел бы иметь."
"В жизни каждого человека наступает время, когда он должен стряхнуть, сбросить с себя страдание, словно забрызганный грязью плащ.","В жизни каждого человека наступает время, когда он должен стряхнуть, сбросить с себя страдание, словно забрызганный грязью плащ."
"Все мужчины одинаковы. А разные лица у них только для того, чтобы женщины могли их различать.","Все мужчины одинаковы. А разные лица у них только для того, чтобы женщины могли их различать."
